item,itemLabel,offizielle_Website
http://www.wikidata.org/entity/Q55156,FOM - Hochschule für Oekonomie und Management,http://www.en.fom.de/about-the-fom.html
http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München,https://www.lmu.de/
http://www.wikidata.org/entity/Q1792343,Kunstakademie Münster,http://www.kunstakademie-muenster.de/
http://www.wikidata.org/entity/Q2718933,Hochschule Ravensburg-Weingarten,http://www.hs-weingarten.de/
http://www.wikidata.org/entity/Q1622244,Hochschule für nachhaltige Entwicklung Eberswalde,http://www.hnee.de/
http://www.wikidata.org/entity/Q1622244,Hochschule für nachhaltige Entwicklung Eberswalde,http://www.hnee.de/de/Startseite/HNE-Eberswalde-E1016.htm
http://www.wikidata.org/entity/Q702524,Universität Erfurt,http://www.uni-erfurt.de
http://www.wikidata.org/entity/Q21040611,Berlin International University of Applied Sciences,https://www.berlin-international.de
http://www.wikidata.org/entity/Q2576313,Wilhelmsstift,https://www.wilhelmsstift.de
http://www.wikidata.org/entity/Q1733921,Karlshochschule International University,http://www.karlshochschule.de/
http://www.wikidata.org/entity/Q59114,Jacobs University Bremen,http://www.jacobs-university.de/
http://www.wikidata.org/entity/Q2120205,Pädagogische Hochschule Schwäbisch Gmünd,http://www.ph-gmuend.de
http://www.wikidata.org/entity/Q2048456,Palucca Hochschule für Tanz Dresden,http://www.palucca.eu/
http://www.wikidata.org/entity/Q60867576,XU Exponential University of Applied Sciences,https://xu-university.com
http://www.wikidata.org/entity/Q101385266,Technische Universität Berlin Institut für Technische Akustik,
http://www.wikidata.org/entity/Q1444899,Frankfurt School of Finance & Management,http://www.frankfurt-school.de/
http://www.wikidata.org/entity/Q151510,Ruprecht-Karls-Universität Heidelberg,http://www.uni-heidelberg.de/
http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,https://www.hu-berlin.de/
http://www.wikidata.org/entity/Q158158,Technische Universität Dresden,https://tu-dresden.de/
http://www.wikidata.org/entity/Q883284,Theologische Fakultät Paderborn,http://www.thf-paderborn.de/
http://www.wikidata.org/entity/Q107512980,Priesterseminar der Pallottiner,
http://www.wikidata.org/entity/Q1622237,Hochschule für bildende Künste Hamburg,http://www.hfbk-hamburg.de/
http://www.wikidata.org/entity/Q1622242,Hochschule für Öffentliche Verwaltung Bremen,http://www.hfoev.bremen.de/
http://www.wikidata.org/entity/Q81564271,Erzbischöfliches Priesterseminar Paderborn,
http://www.wikidata.org/entity/Q1666832,International Psychoanalytic University Berlin,http://www.ipu-berlin.de/en
http://www.wikidata.org/entity/Q2109625,Priesterseminar Würzburg,http://www.priesterseminar-wuerzburg.de
http://www.wikidata.org/entity/Q7392824,SRH Hochschule Berlin,http://www.srh-hochschule-berlin.de/
http://www.wikidata.org/entity/Q40025,Friedrich-Alexander-Universität Erlangen-Nürnberg,https://www.fau.de/
http://www.wikidata.org/entity/Q40025,Friedrich-Alexander-Universität Erlangen-Nürnberg,https://www.fau.eu/
http://www.wikidata.org/entity/Q314305,Universität Witten/Herdecke,https://www.uni-wh.de/
http://www.wikidata.org/entity/Q28971028,Q28971028,http://unu.edu/about/unu-system/centre/vie#overview
http://www.wikidata.org/entity/Q462039,Universität Ingolstadt,
http://www.wikidata.org/entity/Q1258462,Dresden International University,http://www.di-uni.de/
